Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;1;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;2;375.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;17.0;3.0;0.0;45.0;0.0;0.0;20.0;5.0;9.0;8.0;26.0;19.0;88.0;0.0;0.0;0.0;28.0;0.0;56.0;41.0;0.0;888.0;888.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;3;108.0;0.0;50.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;19.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;4;260.0;54.0;0.0;0.0;0.0;9.0;23.0;7.0;0.0;13.0;0.0;0.0;0.0;20.0;93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;5;31.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;6;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;11;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;0.0;0.0;5.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2018;12;214.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.0;0.0;22.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;1;104.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;13.0;23.0;0.0;7.0;0.0;0.0;42.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;2;132.0;0.0;5.0;0.0;0.0;0.0;8.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;0.0;19.0;0.0;0.0;3.0;0.0;0.0;15.0;0.0;0.0;5.0;0.0;18.0;0.0;888.0;888.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;3;203.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;75.0;9.0;0.0;24.0;0.0;0.0;0.0;48.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;4;145.0;0.0;0.0;0.0;25.0;17.0;8.0;0.0;0.0;11.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;26.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;5;93.6;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;12.0;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;6;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;7;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;10;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;11;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2019;12;38.7;0.0;0.0;0.0;0.0;5.2;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;1;94.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0;43.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;2;173.4;0.0;0.0;30.0;0.0;36.0;13.2;0.0;16.2;0.0;0.0;0.0;0.0;12.4;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;0.0;5.2;0.0;0.0;11.2;888.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;3;385.3;6.0;0.0;0.0;38.0;55.0;0.0;17.0;0.0;14.0;0.0;0.0;0.0;85.0;0.0;0.0;35.3;13.0;0.0;0.0;0.0;0.0;0.0;4.0;102.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;4;117.5;26.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;21.3;0.0;0.0;27.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;5;86.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;12.0;0.0;0.0;6.3;0.0;0.0;0.0;18.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;6;22.2;4.0;0.0;0.0;0.0;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;9;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;10;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;11;14.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2020;12;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;1;44.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;5.8;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;2;163.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;56.4;9.0;1.0;0.0;0.0;0.0;18.0;0.0;10.2;0.0;0.0;11.0;13.0;888.0;888.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;3;207.3;0.0;8.0;14.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;32.0;42.0;0.0;0.0;0.0;5.0;6.2;0.0;14.0;17.1;2.0;0.0;9.0;0.0;0.0;0.0;9.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;4;85.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;12.3;10.0;0.0;0.0;3.0;11.3;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;3.7;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;5;6.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;6;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;7;52.0;0.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;9;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;10;15.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;11;31.7;4.0;2.2;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.3;0.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;0.0;9.2;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2021;12;137.0;0.0;0.0;0.0;21.0;0.0;0.0;5.5;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;1.0;16.5;0.0;1.0;0.0;0.0;11.0;17.0;2.0;27.0;0.0;17.5
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;1;179.5;17.0;0.0;59.0;0.0;0.0;0.0;3.0;0.0;0.0;6.0;8.0;2.0;61.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;7.5;13.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;2;49.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0;3.0;7.0;0.0;18.0;2.0;0.0;0.0;4.0;2.0;0.0;0.0;888.0;888.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;3;245.8;0.0;0.0;33.0;0.0;0.0;4.0;2.0;0.0;2.0;0.0;0.0;0.0;34.0;10.0;2.0;12.3;2.0;3.0;0.0;0.0;0.0;43.0;29.5;10.0;25.0;0.0;0.0;12.0;17.0;5.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;4;120.5;0.0;6.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;9.0;0.0;0.0;0.0;0.0;0.0;32.0;20.0;0.0;0.0;0.0;20.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;5;46.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;6;66.5;3.0;7.5;0.0;7.0;3.0;0.0;0.0;0.0;0.0;3.0;4.0;8.0;17.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;7;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;8;7.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;10;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.0;0.0;2.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;11;106.2;0.0;0.0;15.0;12.0;40.0;0.0;8.2;7.0;0.0;0.0;0.0;0.0;15.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2022;12;14.2;0.0;11.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;1;139.5;0.0;17.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;28.2;2.0;0.0;0.0;0.0;5.0;11.3;0.0;0.0;2.0;10.0;3.0;11.0;2.0;2.0;6.0;0.0;0.0;17.0;0.0;0.0;12.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;2;190.1;9.0;5.0;8.0;0.0;0.0;9.5;11.5;0.0;0.0;0.0;3.0;0.0;0.0;0.0;6.2;3.0;13.2;12.2;4.0;53.0;0.0;0.0;5.2;39.3;8.0;0.0;0.0;0.0;888.0;888.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;3;277.6;0.0;4.0;0.0;0.0;10.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;6.0;32.2;15.0;0.0;1.0;18.0;0.0;67.2;10.0;4.2;0.0;19.0;0.0;46.0;0.0;1.0;5.0;6.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;4;43.5;0.0;0.0;0.0;8.0;0.0;3.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;5;89.5;0.0;0.0;1.0;0.0;4.0;13.5;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;47.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;6;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;7;13.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;9.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;8;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Milagres;SITIO SACO;-7.3989444444444;-38.870472222222;2023;11;19.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
